mes,dia,hora,temperatura,humedad,viento,alquiladas
1,6,0,0.24,0.81,0.0,16
1,6,1,0.22,0.8,0.0,40
1,6,2,0.22,0.8,0.0,32
1,6,3,0.24,0.75,0.0,13
1,6,4,0.24,0.75,0.0,1
1,6,5,0.24,0.75,0.0896,1
1,6,6,0.22,0.8,0.0,2
1,6,7,0.2,0.86,0.0,3
1,6,8,0.24,0.75,0.0,8
1,6,9,0.32,0.76,0.0,14
1,6,10,0.38,0.76,0.2537,36
1,6,11,0.36,0.81,0.2836,56
1,6,12,0.42,0.77,0.2836,84
1,6,13,0.46,0.72,0.2985,94
1,6,14,0.46,0.72,0.2836,106
1,6,15,0.44,0.77,0.2985,110
1,6,16,0.42,0.82,0.2985,93
1,6,17,0.44,0.82,0.2836,67
1,6,18,0.42,0.88,0.2537,35
1,6,19,0.42,0.88,0.2537,37
1,6,20,0.4,0.87,0.2537,36
1,6,21,0.4,0.87,0.19399999999999998,34
1,6,22,0.4,0.94,0.2239,28
1,6,23,0.46,0.88,0.2985,39
1,0,0,0.46,0.88,0.2985,17
1,0,1,0.44,0.94,0.2537,17
1,0,2,0.42,1.0,0.2836,9
1,0,3,0.46,0.94,0.19399999999999998,6
1,0,4,0.46,0.94,0.19399999999999998,3
1,0,6,0.42,0.77,0.2985,2
1,0,7,0.4,0.76,0.19399999999999998,1
1,0,8,0.4,0.71,0.2239,8
1,0,9,0.38,0.76,0.2239,20
1,0,10,0.36,0.81,0.2239,53
1,0,11,0.36,0.71,0.2537,70
1,0,12,0.36,0.66,0.2985,93
1,0,13,0.36,0.66,0.1343,75
1,0,14,0.36,0.76,0.19399999999999998,59
1,0,15,0.34,0.81,0.1642,74
1,0,16,0.34,0.71,0.1642,76
1,0,17,0.34,0.57,0.19399999999999998,65
1,0,18,0.36,0.46,0.3284,53
1,0,19,0.32,0.42,0.4478,30
1,0,20,0.3,0.39,0.3582,22
1,0,21,0.26,0.44,0.3284,31
1,0,22,0.24,0.44,0.2985,9
1,0,23,0.22,0.47,0.1642,8
1,1,0,0.22,0.44,0.3582,5
1,1,1,0.2,0.44,0.4179,2
1,1,4,0.16,0.47,0.3881,1
1,1,5,0.16,0.47,0.2836,3
1,1,6,0.14,0.5,0.3881,30
1,1,7,0.14,0.5,0.19399999999999998,64
1,1,8,0.14,0.5,0.2836,154
1,1,9,0.16,0.43,0.3881,88
1,1,10,0.18,0.43,0.2537,44
1,1,11,0.2,0.4,0.3284,51
1,1,12,0.22,0.35,0.2985,61
1,1,13,0.24,0.35,0.2836,61
1,1,14,0.26,0.3,0.2836,77
1,1,15,0.26,0.3,0.2537,72
1,1,16,0.26,0.3,0.2537,76
1,1,17,0.24,0.3,0.2239,157
1,1,18,0.24,0.32,0.1045,157
1,1,19,0.2,0.47,0.0,110
1,1,20,0.2,0.47,0.1045,52
1,1,21,0.18,0.64,0.1343,52
1,1,22,0.14,0.69,0.1343,20
1,1,23,0.18,0.55,0.1045,12
1,2,0,0.16,0.55,0.1045,5
1,2,1,0.16,0.59,0.1045,2
1,2,2,0.14,0.63,0.1343,1
1,2,4,0.14,0.63,0.0896,2
1,2,5,0.12,0.68,0.1045,4
1,2,6,0.12,0.74,0.1045,36
1,2,7,0.12,0.74,0.1343,94
1,2,8,0.14,0.69,0.1642,179
1,2,9,0.16,0.64,0.2239,100
1,2,10,0.16,0.69,0.3284,42
1,2,11,0.22,0.51,0.2985,57
1,2,12,0.22,0.51,0.1642,78
1,2,13,0.24,0.56,0.19399999999999998,97
1,2,14,0.26,0.52,0.2239,63
1,2,15,0.28,0.52,0.2537,65
1,2,16,0.3,0.49,0.2537,83
1,2,17,0.28,0.48,0.2239,212
1,2,18,0.26,0.48,0.19399999999999998,182
1,2,19,0.24,0.48,0.1045,112
1,2,20,0.24,0.48,0.1045,54
1,2,21,0.22,0.64,0.0,48
1,2,22,0.22,0.64,0.0896,35
1,2,23,0.2,0.69,0.0896,11
1,3,0,0.2,0.64,0.0,6
1,3,1,0.16,0.74,0.0896,6
1,3,2,0.16,0.74,0.0896,2
1,3,4,0.24,0.48,0.2239,2
1,3,5,0.22,0.47,0.1642,3
1,3,6,0.2,0.47,0.2239,33
1,3,7,0.18,0.43,0.19399999999999998,88
1,3,8,0.2,0.4,0.2985,195
1,3,9,0.22,0.37,0.3284,115
1,3,10,0.22,0.37,0.3284,57
1,3,11,0.26,0.33,0.3284,46
1,3,12,0.26,0.33,0.3284,79
1,3,13,0.28,0.3,0.2985,71
1,3,14,0.3,0.28,0.19399999999999998,62
1,3,15,0.3,0.28,0.19399999999999998,62
1,3,16,0.3,0.28,0.0896,89
1,3,17,0.24,0.38,0.19399999999999998,190
1,3,18,0.24,0.38,0.1343,169
1,3,19,0.24,0.38,0.1045,132
1,3,20,0.22,0.47,0.1642,89
1,3,21,0.2,0.51,0.19399999999999998,43
1,3,22,0.18,0.55,0.1343,42
1,3,23,0.2,0.47,0.0,19
1,4,0,0.18,0.55,0.0,11
1,4,1,0.16,0.64,0.0,4
1,4,2,0.16,0.64,0.0,2
1,4,4,0.16,0.64,0.0896,1
1,4,5,0.14,0.69,0.0896,4
1,4,6,0.14,0.63,0.1045,36
1,4,7,0.16,0.59,0.0,95
1,4,8,0.16,0.59,0.0,219
1,4,9,0.18,0.51,0.0,122
1,4,10,0.2,0.47,0.0,45
1,4,11,0.22,0.44,0.0896,59
1,4,12,0.26,0.35,0.0,84
1,4,13,0.26,0.35,0.1045,67
1,4,14,0.28,0.36,0.1642,70
1,4,15,0.28,0.36,0.0,62
1,4,16,0.26,0.38,0.1642,86
1,4,17,0.22,0.51,0.1642,172
1,4,18,0.22,0.51,0.1343,163
1,4,19,0.22,0.55,0.0896,112
1,4,20,0.2,0.51,0.1642,69
1,4,21,0.22,0.55,0.2239,48
1,4,22,0.22,0.51,0.2836,52
1,4,23,0.2,0.59,0.19399999999999998,23
1,5,0,0.2,0.64,0.19399999999999998,17
1,5,1,0.2,0.69,0.2239,7
1,5,2,0.2,0.69,0.2239,1
1,5,4,0.2,0.69,0.1343,1
1,5,5,0.22,0.55,0.0,5
1,5,6,0.2,0.69,0.0,34
1,5,7,0.2,0.69,0.1343,84
1,5,8,0.2,0.51,0.2537,210
1,5,9,0.2,0.47,0.2985,134
1,5,10,0.22,0.37,0.3284,63
1,5,11,0.2,0.4,0.2239,67
1,5,12,0.2,0.37,0.2537,59
1,5,13,0.2,0.37,0.2836,73
1,5,14,0.2,0.4,0.2537,50
1,5,15,0.2,0.37,0.1642,72
1,5,16,0.2,0.37,0.1642,87
1,5,17,0.2,0.37,0.0,187
1,5,18,0.2,0.4,0.0896,123
1,5,19,0.16,0.55,0.0896,95
1,5,20,0.18,0.47,0.1045,51
1,5,21,0.18,0.47,0.1343,39
1,5,22,0.18,0.43,0.1642,36
1,5,23,0.18,0.51,0.1642,15
1,6,0,0.18,0.51,0.1642,25
1,6,1,0.18,0.55,0.0896,16
1,6,2,0.18,0.55,0.0,16
1,6,3,0.18,0.55,0.1642,7
1,6,4,0.18,0.55,0.1642,1
1,6,5,0.16,0.74,0.1642,5
1,6,6,0.16,0.74,0.1642,2
1,6,7,0.16,0.74,0.1045,9
1,6,8,0.16,0.93,0.1045,15
1,6,9,0.16,0.93,0.1045,20
1,6,10,0.18,0.8,0.1642,61
1,6,11,0.2,0.69,0.3881,62
1,6,12,0.2,0.59,0.3582,98
1,6,13,0.2,0.44,0.3284,102
1,6,14,0.2,0.32,0.4925,95
1,6,15,0.2,0.32,0.4478,74
1,6,16,0.18,0.29,0.4478,76
1,6,17,0.16,0.37,0.5522,69
1,6,18,0.14,0.39,0.2985,55
1,6,19,0.14,0.36,0.2537,30
1,6,20,0.12,0.36,0.2537,28
1,6,21,0.12,0.39,0.3582,37
1,6,22,0.12,0.36,0.3881,34
1,6,23,0.1,0.39,0.4478,22
1,0,0,0.1,0.42,0.3881,25
1,0,1,0.1,0.42,0.4627,12
1,0,2,0.1,0.46,0.4627,11
1,0,3,0.1,0.46,0.4179,4
1,0,4,0.08,0.53,0.19399999999999998,1
1,0,5,0.08,0.53,0.19399999999999998,1
1,0,6,0.1,0.49,0.2836,1
1,0,7,0.08,0.53,0.19399999999999998,6
1,0,8,0.1,0.49,0.2836,10
