C.A.,año,tipo de cultivo,litros de agua
Andalucía,2000,Herbáceos,997486
Andalucía,2000,Frutales,481004
Andalucía,2000,Olivar y Viñedo,441654
Andalucía,2000,Patatas y hortalizas,1487211
Andalucía,2000,Otros tipos de cultivos,983826
Andalucía,2001,Herbáceos,1340836
Andalucía,2001,Frutales,590675
Andalucía,2001,Olivar y Viñedo,575463
Andalucía,2001,Patatas y hortalizas,467629
Andalucía,2001,Otros tipos de cultivos,1440883
Andalucía,2002,Herbáceos,1274836
Andalucía,2002,Frutales,694000
Andalucía,2002,Olivar y Viñedo,590185
Andalucía,2002,Patatas y hortalizas,294429
Andalucía,2002,Otros tipos de cultivos,1653093
Andalucía,2003,Herbáceos,1627876
Andalucía,2003,Frutales,644183
Andalucía,2003,Olivar y Viñedo,556439
Andalucía,2003,Patatas y hortalizas,490746
Andalucía,2003,Otros tipos de cultivos,1291804
Andalucía,2004,Herbáceos,946684
Andalucía,2004,Frutales,549852
Andalucía,2004,Olivar y Viñedo,1636619
Andalucía,2004,Patatas y hortalizas,328074
Andalucía,2004,Otros tipos de cultivos,1014165
Andalucía,2005,Herbáceos,928669
Andalucía,2005,Frutales,627785
Andalucía,2005,Olivar y Viñedo,1253616
Andalucía,2005,Patatas y hortalizas,323298
Andalucía,2005,Otros tipos de cultivos,940632
Andalucía,2006,Herbáceos,721934
Andalucía,2006,Frutales,537028
Andalucía,2006,Olivar y Viñedo,1467884
Andalucía,2006,Patatas y hortalizas,315461
Andalucía,2006,Otros tipos de cultivos,734409
Andalucía,2007,Herbáceos,435416
Andalucía,2007,Frutales,564085
Andalucía,2007,Olivar y Viñedo,1814254
Andalucía,2007,Patatas y hortalizas,221208
Andalucía,2007,Otros tipos de cultivos,677413
Andalucía,2008,Herbáceos,490495
Andalucía,2008,Frutales,596093
Andalucía,2008,Olivar y Viñedo,1817248
Andalucía,2008,Patatas y hortalizas,226809
Andalucía,2008,Otros tipos de cultivos,406247
Andalucía,2009,Herbáceos,741784
Andalucía,2009,Frutales,570024
Andalucía,2009,Olivar y Viñedo,1575598
Andalucía,2009,Patatas y hortalizas,185442
Andalucía,2009,Otros tipos de cultivos,594533
Andalucía,2010,Herbáceos,848173
Andalucía,2010,Frutales,579121
Andalucía,2010,Olivar y Viñedo,1602274
Andalucía,2010,Patatas y hortalizas,158317
Andalucía,2010,Otros tipos de cultivos,569846
Andalucía,2011,Herbáceos,1159042
Andalucía,2011,Frutales,726323
Andalucía,2011,Olivar y Viñedo,1180724
Andalucía,2011,Patatas y hortalizas,106790
Andalucía,2011,Otros tipos de cultivos,419950
Andalucía,2012,Herbáceos,1379030
Andalucía,2012,Frutales,834676
Andalucía,2012,Olivar y Viñedo,864515
Andalucía,2012,Patatas y hortalizas,150183
Andalucía,2012,Otros tipos de cultivos,429837
Andalucía,2013,Herbáceos,1110638
Andalucía,2013,Frutales,774697
Andalucía,2013,Olivar y Viñedo,1036500
Andalucía,2013,Patatas y hortalizas,161500
Andalucía,2013,Otros tipos de cultivos,679914
Andalucía,2014,Herbáceos,1341852
Andalucía,2014,Frutales,815845
Andalucía,2014,Olivar y Viñedo,951682
Andalucía,2014,Patatas y hortalizas,254608
Andalucía,2014,Otros tipos de cultivos,840825
Andalucía,2015,Herbáceos,1214352
Andalucía,2015,Frutales,957146
Andalucía,2015,Olivar y Viñedo,828576
Andalucía,2015,Patatas y hortalizas,369204
Andalucía,2015,Otros tipos de cultivos,847072
Andalucía,2016,Herbáceos,1231579
Andalucía,2016,Frutales,904452
Andalucía,2016,Olivar y Viñedo,765116
Andalucía,2016,Patatas y hortalizas,421545
Andalucía,2016,Otros tipos de cultivos,763894
Aragón,2000,Herbáceos,1215650
Aragón,2000,Frutales,148145
Aragón,2000,Olivar y Viñedo,157692
Aragón,2000,Patatas y hortalizas,303430
Aragón,2000,Otros tipos de cultivos,485804
Aragón,2001,Herbáceos,1239002
Aragón,2001,Frutales,168763
Aragón,2001,Olivar y Viñedo,98667
Aragón,2001,Patatas y hortalizas,33765
Aragón,2001,Otros tipos de cultivos,581097
Aragón,2002,Herbáceos,1249458
Aragón,2002,Frutales,97175
Aragón,2002,Olivar y Viñedo,92808
Aragón,2002,Patatas y hortalizas,22750
Aragón,2002,Otros tipos de cultivos,738425
Aragón,2003,Herbáceos,1342283
Aragón,2003,Frutales,122948
Aragón,2003,Olivar y Viñedo,80750
Aragón,2003,Patatas y hortalizas,47775
Aragón,2003,Otros tipos de cultivos,707984
Aragón,2004,Herbáceos,1874049
Aragón,2004,Frutales,329658
Aragón,2004,Olivar y Viñedo,169064
Aragón,2004,Patatas y hortalizas,47143
Aragón,2004,Otros tipos de cultivos,102947
Aragón,2005,Herbáceos,1721076
Aragón,2005,Frutales,332874
Aragón,2005,Olivar y Viñedo,73614
Aragón,2005,Patatas y hortalizas,36342
Aragón,2005,Otros tipos de cultivos,69099
Aragón,2006,Herbáceos,1734970
Aragón,2006,Frutales,319251
Aragón,2006,Olivar y Viñedo,60422
Aragón,2006,Patatas y hortalizas,43710
Aragón,2006,Otros tipos de cultivos,94622
Aragón,2007,Herbáceos,1883527
Aragón,2007,Frutales,288830
Aragón,2007,Olivar y Viñedo,66014
Aragón,2007,Patatas y hortalizas,43270
Aragón,2007,Otros tipos de cultivos,20694
Aragón,2008,Herbáceos,1723966
Aragón,2008,Frutales,320286
Aragón,2008,Olivar y Viñedo,70654
Aragón,2008,Patatas y hortalizas,36994
Aragón,2008,Otros tipos de cultivos,27077
Aragón,2009,Herbáceos,1834284
Aragón,2009,Frutales,317633
Aragón,2009,Olivar y Viñedo,84313
Aragón,2009,Patatas y hortalizas,28796
Aragón,2009,Otros tipos de cultivos,36506
Aragón,2010,Herbáceos,1907010
Aragón,2010,Frutales,314576
Aragón,2010,Olivar y Viñedo,87284
Aragón,2010,Patatas y hortalizas,40932
Aragón,2010,Otros tipos de cultivos,36403
Aragón,2011,Herbáceos,2221102
Aragón,2011,Frutales,174540
Aragón,2011,Olivar y Viñedo,104444
Aragón,2011,Patatas y hortalizas,67395
