Fecha,Euros,Precio,Litros,Kilometraje,Gasolinera
11/10/2011,40,1.295,30.89,6,B
15/10/2011,50,1.302,38.4,345,C
26/10/2011,50,1.321,37.85,871,A
05/11/2011,35,1.321,26.5,1370,A
21/11/2011,35,1.351,25.91,1689,C
28/11/2011,35,1.289,27.15,2008,C
04/12/2011,35,1.306,26.8,2421,C
08/12/2011,35,1.32,26.52,2812,C
12/12/2011,35,1.313,26.66,3159,B
25/12/2011,50,1.31,38.17,3556,B
03/01/2012,50,1.33,37.59,4070,C
18/01/2012,50,1.379,36.26,4564,C
23/01/2012,50,1.347,37.12,5090,B
02/02/2012,50,1.347,37.12,5629,C
13/02/2012,50,1.364,36.66,6145,A
26/02/2012,50,1.394,35.87,6651,B
07/03/2012,50,1.386,36.08,7086,C
18/03/2012,50,1.419,35.24,7758,B
26/03/2012,50,1.399,35.74,8326,C
07/04/2012,50,1.398,35.77,8754,A
16/04/2012,50,1.383,36.15,9349,B
23/04/2012,50,1.376,36.34,9675,C
25/04/2012,50,1.336,37.42,10485,C
30/04/2012,50,1.371,36.47,10928,C
04/05/2012,50,1.388,36.02,11519,A
12/05/2012,50,1.353,36.95,11966,C
21/05/2012,50,1.347,37.12,12589,A
03/06/2012,20,1.322,15.13,13068,B
06/06/2012,50,1.307,38.26,13321,B
25/06/2012,50,1.294,38.64,13843,A
14/07/2012,50,1.378,36.28,14400,B
19/07/2012,50,1.393,35.89,14941,C
03/08/2012,50,1.406,40.56,15435,C
21/08/2012,50,1.449,34.51,15875,A
31/08/2012,60,1.442,41.61,16353,B
10/09/2012,50,1.464,34.15,16852,C
24/09/2012,50,1.433,34.89,17468,B
02/10/2012,50,1.455,34.36,17982,B
10/10/2012,50,1.464,34.15,18516,C
21/10/2012,50,1.443,34.65,18815,B
08/11/2012,50,1.416,35.31,19234,B
27/11/2012,50,1.379,36.26,19872,A
11/12/2012,50,1.364,36.66,20373,A
27/12/2012,50,1.368,36.55,20884,C
13/01/2013,50,1.404,35.61,21511,A
26/01/2013,10,1.415,7.07,22006,B
27/01/2013,50,1.426,35.06,22144,B
18/02/2013,50,1.426,35.06,22658,B
15/03/2013,50,1.424,35.11,23171,A
03/04/2013,50,1.421,35.19,23750,C
25/04/2013,50,1.348,37.09,24147,B
29/05/2013,50,1.373,36.42,24601,A
18/06/2013,50,1.359,36.79,25114,A
13/07/2013,50,1.429,34.99,25769,A
01/08/2013,50,1.408,35.51,26164,A
13/08/2013,50,1.409,35.49,26723,C
07/09/2013,40,1.454,27.51,27056,B
05/10/2013,50,1.379,36.26,27500,C
31/10/2013,50,1.379,36.26,27967,B
08/12/2013,50,1.404,35.61,28437,B
